Project,Project Type,Budget Allocation(USD),Resource Utilization Rate,Expense Reports
Website Redesign,Development,150000,85%,Approved
Product Launch,Marketing,120000,90%,Pending
Supply Chain Optimization,Operations,200000,78%,Approved
Market Research,Research,90000,88%,Completed
Employee Training Program,Training,60000,95%,Pending
Financial System Upgrade,Finance,180000,92%,Approved
IT Infrastructure Enhancement,IT,220000,89%,Completed
Employee Wellness Program,Human Resources,100000,78%,Pending
Quality Assurance Process Improvement,Quality Assurance,80000,85%,Approved
Legal Compliance Review,Legal,120000,80%,Completed
